Date and Time,Potentiometer %,Distance
2023-07-26 09:32:02.332,NaN,4.19
2023-07-26 09:32:02.401,99.22,NaN
2023-07-26 09:32:02.401,NaN,3.91
2023-07-26 09:32:02.503,NaN,4.18
2023-07-26 09:32:02.511,99.12,NaN
2023-07-26 09:32:02.605,NaN,4.17
2023-07-26 09:32:02.630,98.83,NaN
2023-07-26 09:32:02.708,NaN,4.19
2023-07-26 09:32:02.739,99.22,NaN
2023-07-26 09:32:02.810,NaN,4.19
2023-07-26 09:32:02.843,99.12,NaN
2023-07-26 09:32:02.912,NaN,4.18
2023-07-26 09:32:02.950,99.32,NaN
2023-07-26 09:32:03.014,NaN,4.17
2023-07-26 09:32:03.055,99.22,NaN
2023-07-26 09:32:03.119,NaN,4.18
2023-07-26 09:32:03.163,98.93,NaN
2023-07-26 09:32:03.221,NaN,4.19
2023-07-26 09:32:03.271,98.83,NaN
2023-07-26 09:32:03.327,NaN,4.17
2023-07-26 09:32:03.379,99.22,NaN
2023-07-26 09:32:03.430,NaN,4.2
2023-07-26 09:32:03.487,99.32,NaN
2023-07-26 09:32:03.540,NaN,4.15
2023-07-26 09:32:03.591,99.22,NaN
2023-07-26 09:32:03.644,NaN,4.18
2023-07-26 09:32:03.697,98.83,NaN
2023-07-26 09:32:03.749,NaN,4.19
2023-07-26 09:32:03.802,99.12,NaN
2023-07-26 09:32:03.852,NaN,4.2
2023-07-26 09:32:03.905,99.12,NaN
2023-07-26 09:32:03.955,NaN,4.18
2023-07-26 09:32:04.009,98.93,NaN
2023-07-26 09:32:04.057,NaN,4.19
2023-07-26 09:32:04.117,98.83,NaN
2023-07-26 09:32:04.164,NaN,4.17
2023-07-26 09:32:04.222,99.12,NaN
2023-07-26 09:32:04.270,NaN,4.16
2023-07-26 09:32:04.326,98.63,NaN
2023-07-26 09:32:04.373,NaN,4.2
2023-07-26 09:32:04.430,99.32,NaN
2023-07-26 09:32:04.476,NaN,4.18
2023-07-26 09:32:04.534,99.32,NaN
2023-07-26 09:32:04.583,NaN,4.19
2023-07-26 09:32:04.640,99.02,NaN
2023-07-26 09:32:04.691,NaN,4.19
2023-07-26 09:32:04.744,98.83,NaN
2023-07-26 09:32:04.798,NaN,4.19
2023-07-26 09:32:04.848,99.32,NaN
2023-07-26 09:32:04.901,NaN,4.18
2023-07-26 09:32:04.953,99.32,NaN
2023-07-26 09:32:05.005,NaN,3.08
2023-07-26 09:32:05.060,98.93,NaN
2023-07-26 09:32:05.110,NaN,3.95
2023-07-26 09:32:05.165,99.32,NaN
2023-07-26 09:32:05.213,NaN,2.44
2023-07-26 09:32:05.268,98.83,NaN
2023-07-26 09:32:05.317,NaN,3.75
2023-07-26 09:32:05.372,99.32,NaN
2023-07-26 09:32:05.420,NaN,2.23
2023-07-26 09:32:05.477,98.83,NaN
2023-07-26 09:32:05.523,NaN,2.24
2023-07-26 09:32:05.581,98.83,NaN
2023-07-26 09:32:05.628,NaN,7.45
2023-07-26 09:32:05.686,99.32,NaN
2023-07-26 09:32:05.734,NaN,3.52
2023-07-26 09:32:05.790,98.83,NaN
2023-07-26 09:32:05.839,NaN,4.17
2023-07-26 09:32:05.895,98.83,NaN
2023-07-26 09:32:05.942,NaN,4.28
2023-07-26 09:32:06.000,98.53,NaN
2023-07-26 09:32:06.047,NaN,4.17
2023-07-26 09:32:06.104,99.12,NaN
2023-07-26 09:32:06.151,NaN,4.2
2023-07-26 09:32:06.208,99.22,NaN
2023-07-26 09:32:06.254,NaN,4.17
2023-07-26 09:32:06.313,98.83,NaN
2023-07-26 09:32:06.357,NaN,4.18
2023-07-26 09:32:06.418,98.83,NaN
2023-07-26 09:32:06.463,NaN,4.17
2023-07-26 09:32:06.521,99.41,NaN
